I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
4.000000,4.712389,0.050000,0.000000,0.000000,0.030277,-0.025958,0.000000,8.236880,-6.163479,0.000000,0.043940,-0.021970,0.021970,0.015310,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.013652,-0.026189,0.000000,8.363720,-6.036952,0.000000,0.043940,-0.021970,0.043940,0.016316,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.034635,-0.021216,0.000000,8.459681,-5.866832,0.000000,0.043940,-0.021970,0.043940,0.016815,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.039602,-0.023216,0.000000,8.518827,-5.706741,0.000000,0.021970,-0.043940,0.065910,0.043500,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.040318,-0.022426,0.000000,8.587258,-5.565867,0.000000,0.021970,-0.043940,0.043940,0.043549,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.030608,-0.014011,0.000000,8.729647,-5.363103,0.000000,0.000000,-0.043940,0.065910,0.045320,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.041481,-0.037114,0.000000,8.817706,-5.223851,0.000000,0.065910,-0.043940,0.043940,0.040893,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.031127,-0.058082,0.000000,8.920442,-5.006727,0.000000,0.065910,-0.043940,0.043940,0.042182,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.042804,-0.047969,0.000000,8.957229,-4.831527,0.000000,0.087880,-0.043940,0.043940,0.042374,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.043863,-0.021884,0.000000,9.044605,-4.788891,0.000000,0.043940,-0.043940,0.043940,0.043885,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.043141,-0.038116,0.000000,9.148618,-4.537609,0.000000,0.065910,-0.043940,0.043940,0.045292,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.034314,0.004986,0.000000,9.285800,-4.407803,0.000000,0.043940,-0.021970,0.021970,0.023508,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032557,-0.045233,0.000000,9.410568,-4.153486,0.000000,0.043940,-0.043940,0.043940,0.045331,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.049874,-0.034146,0.000000,9.423216,-4.114199,0.000000,0.065910,-0.043940,0.043940,0.047658,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.030136,-0.032568,0.000000,9.557950,-3.916234,0.000000,0.043940,-0.021970,0.043940,0.025740,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.060055,-0.029346,0.000000,9.551833,-3.774064,0.000000,0.043940,-0.065910,0.043940,0.066554,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.049993,-0.016231,0.000000,9.615145,-3.656831,0.000000,0.043940,-0.043940,0.021970,0.046840,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.018894,-0.041965,0.000000,9.772208,-3.515451,0.000000,0.043940,0.000000,0.043940,0.007846,0.000000
